Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
freeCodeCamp,3354,21799,0,-1,TypeScript,0.984616254736723
free-programming-books,3793,6433,0,-1,N/A,0.9774011299435028
awesome,3520,641,0,-1,N/A,0.9341317365269461
public-apis,2901,1871,0,-1,Python,0.9820466786355476
coding-interview-university,2824,395,0,-1,N/A,0.8913043478260869
996.ICU,1801,1066,0,-1,N/A,0
developer-roadmap,2542,1783,1,-1,TypeScript,0.5956497490239822
build-your-own-x,2122,133,0,-1,N/A,0.707641196013289
system-design-primer,2559,196,0,-1,Python,0.2888086642599278
react,3933,9717,99,-1,JavaScript,0.9080758040418337
vue,3867,1133,249,-1,TypeScript,0.9644462199141116
awesome-python,3534,540,0,-1,Python,0
tensorflow,3036,16424,202,-1,C++,0.9509376531586143
javascript-algorithms,2168,282,0,-1,JavaScript,0.6342182890855457
Python,2784,2724,0,-1,Python,0.980542043085476
You-Dont-Know-JS,3757,365,0,-1,N/A,0.9134199134199135
CS-Notes,2207,375,0,-1,N/A,0.7756521739130435
awesome-selfhosted,3195,2395,1,-1,N/A,1.0
ohmyzsh,5298,3061,0,-1,Shell,0.9736955584303579
bootstrap,4598,8634,89,-1,JavaScript,0.9823270835202297
linux,4560,9,0,-1,C,0
flutter,3281,36032,7,-1,Dart,0.8674743184083915
computer-science,3588,252,0,-1,N/A,0.9760765550239234
AutoGPT,350,1524,20,-1,JavaScript,0.9587962962962963
project-based-learning,2514,182,0,-1,N/A,0.5478260869565217
vscode,3101,23229,125,-1,TypeScript,0.9571063483766045
gitignore,4861,1523,0,-1,N/A,0
Python-100-Days,2191,13,0,-1,Python,0.1685214626391097
the-art-of-command-line,3207,317,0,-1,N/A,0.5481171548117155
JavaGuide,2124,951,0,-1,Java,0.9414784394250514
javascript,4136,802,0,-1,JavaScript,0.9311145510835913
youtube-dl,4869,1618,341,-1,Python,0.8578822107211665
the-book-of-secret-knowledge,2077,122,0,-1,N/A,0
stable-diffusion-webui,556,1628,19,-1,Python,0.7326090023987583
